group,area,halls_name,country,cinema,projection_material,etime,director,show_time,length,film_medium,weekday,date,film2,film1,show_type,resolving_power,id,co_production_country,stime
金爵奖参赛片-剧情片,,LUXE巨幕厅,巴西,上海百丽宫影城（万象城店）,,17:23,阿伦·戴伯通,1561189500,98min,彩色,星期六,6月22日,PACARRETE,痴梦芭蕾,0,,6040,,15:45
金爵奖参赛片-剧情片,,东方巨幕厅,日本,SFC上海影城,,17:44,今泉力哉,1561016700,119min,彩色,星期四,6月20日,"LITTLE NIGHTS, LITTLE LOVE",一首小夜曲,"0,2",,8630,,15:45
金爵奖参赛片-剧情片,,1号厅,俄罗斯,上海市沪北电影院,,15:22,帕维尔·龙金,1560576600,112min,彩色,星期六,6月15日,BROTHERHOOD ,兄弟会,0,,8670,,13:30
金爵奖参赛片-剧情片,,2号厅,巴西,上海UA梅龙镇广场电影城,,15:08,阿伦·戴伯通,1560576600,98min,彩色,星期六,6月15日,PACARRETE,痴梦芭蕾,0,,6040,,13:30
金爵奖参赛片-剧情片,,2号厅,印度,上海UA梅龙镇广场电影城,,12:17,比朱·达摩达兰,1561170600,107min,彩色,星期六,6月22日,TREES UNDER THE SUN,木生日光下,1,,5370,,10:30
金爵奖参赛片-剧情片,,2号厅,中国,SFC上海影城,,12:19,秦海璐,1560652200,109min,彩色,星期日,6月16日,THE RETURN,拂乡心,"2,2,0",,4490,中国,10:30
金爵奖参赛片-剧情片,,2号厅,墨西哥,SFC上海影城,,15:05,盖尔·加西亚·贝纳尔,1560663000,95min,彩色,星期日,6月16日,CHICUAROTES,逃离小镇,"2,0",,6574,,13:30
金爵奖参赛片-剧情片,,2号厅,巴西,SFC上海影城,,17:23,阿伦·戴伯通,1560671100,98min,彩色,星期日,6月16日,PACARRETE,痴梦芭蕾,"0,2",,6040,,15:45
金爵奖参赛片-剧情片,,2号厅,德国,SFC上海影城,,14:49,卡洛斯·A·莫莱利,1560749400,79min,黑白,星期一,6月17日,MANY HAPPY RETURNS,生日,"0,2",,7994,,13:30
金爵奖参赛片-剧情片,,2号厅,印度,SFC上海影城,,17:32,比朱·达摩达兰,1560757500,107min,彩色,星期一,6月17日,TREES UNDER THE SUN,木生日光下,"0,2,2",,5370,,15:45
金爵奖参赛片-剧情片,,2号厅,哈萨克斯坦,SFC上海影城,,15:05,叶尔梅克·图萨诺夫,1560835800,95min,彩色,星期二,6月18日,SHYRAKSHY: GUARDIAN OF THE LIGHT,光影守护者,"0,2",,5628,,13:30
金爵奖参赛片-剧情片,,2号厅,中国,SFC上海影城,,17:49,杨荔钠,1560843900,124min,彩色,星期二,6月18日,SPRING TIDE,春潮,"0,2,2",,4940,,15:45
金爵奖参赛片-剧情片,,2号厅,伊朗,SFC上海影城,,14:56,雷萨·米尔卡里米,1560922200,86min,彩色,星期三,6月19日,CASTLE OF DREAMS,梦之城堡,"0,2",,6652,,13:30
金爵奖参赛片-剧情片,,2号厅,意大利,SFC上海影城,,17:39,赛尔乔·鲁比尼,1560930300,114min,彩色,星期三,6月19日,THE GREAT SPIRIT,天助吾友,"0,2,2",,5568,,15:45
金爵奖参赛片-剧情片,,2号厅,巴西,SFC上海影城,,15:06,埃米利亚诺·库尼亚,1561008600,96min,彩色,星期四,6月20日,LANE 4,第四泳道,"0,2",,4763,,13:30
金爵奖参赛片-剧情片,,2号厅,中国,SFC上海影城,,12:10,甘剑宇,1561084200,100min,彩色,星期五,6月21日,VORTEX,铤而走险,"0,2",,8944,,10:30
金爵奖参赛片-剧情片,,2号厅,俄罗斯,SFC上海影城,,17:37,帕维尔·龙金,1561103100,112min,彩色,星期五,6月21日,BROTHERHOOD ,兄弟会,"0,2",,8670,,15:45
金爵奖参赛片-剧情片,,2号厅,意大利,SFC上海影城,,14:50,卡蒂娅·凑丽娅,1561181400,80min,彩色,星期六,6月22日,ROSA,罗莎,"2,0",,5582,斯洛文尼亚,13:30
