group,area,halls_name,country,cinema,projection_material,etime,director,show_time,length,film_medium,weekday,date,film2,film1,show_type,resolving_power,id,co_production_country,stime,memo
金爵奖官方入选影片-剧情片,,CINITY厅,日本,SFC上海影城,,11:19,冲田修一,1595811600,139min,彩色,星期一,7月27日,ONE SUMMER STORY,孩子不想理解,0,,12186,,09:00,
金爵奖官方入选影片-剧情片,,LUXE巨幕厅,西班牙,红星电影世界上海吴中路旗舰店,,20:04,宝拉·康斯,1595845800,94min,,星期一,7月27日,THE ISLAND OF LIES,谎言的岛屿,,,10961,,18:30,
金爵奖官方入选影片-剧情片,,LUXE巨幕厅,意大利,红星电影世界上海吴中路旗舰店,,22:39,克里斯蒂娜·科门奇尼,1596286800,99min,,星期六,8月1日,FEEL YOUR MEMORIES (4K),感受你的记忆（4K）,0,4K,11177,,21:00,
金爵奖官方入选影片-剧情片,,1号厅,意大利,上海市沪北电影院,,22:39,克里斯蒂娜·科门奇尼,1596200400,99min,,星期五,7月31日,FEEL YOUR MEMORIES (4K),感受你的记忆（4K）,0,4K,11177,,21:00,
金爵奖官方入选影片-剧情片,,2号厅,芬兰,上海UA梅龙镇广场电影城,,14:01,安提·乔金恩,1596254400,121min,彩色,星期六,8月1日,HELENE,海莲娜：画布人生,0,,10163,,12:00,
金爵奖官方入选影片-剧情片,,2号厅,西班牙,SFC上海影城,,10:34,宝拉·康斯,1595638800,94min,,星期六,7月25日,THE ISLAND OF LIES,谎言的岛屿,0,,10961,,09:00,
金爵奖官方入选影片-剧情片,,2号厅,阿根廷,SFC上海影城,,16:12,费尔南多·祖伯,1595659800,82min,彩色,星期六,7月25日,CIEGOS,盲人,0,,9280,,14:50,
金爵奖官方入选影片-剧情片,,2号厅,中国,SFC上海影城,,16:05,大鹏,1595746200,75min,彩色,星期日,7月26日,THE REUNIONS,吉祥如意,2,,12812,,14:50,
金爵奖官方入选影片-剧情片,,2号厅,芬兰,SFC上海影城,,16:51,安提·乔金恩,1595832600,121min,彩色,星期一,7月27日,HELENE,海莲娜：画布人生,0,,10163,,14:50,
金爵奖官方入选影片-剧情片,,2号厅,波兰,SFC上海影城,,23:02,马切伊·佩普日察,1595854800,122min,彩色,星期一,7月27日,"ICARUS, THE LEGEND OF MIETEK KOSZ",盲琴师,,,9479,,21:00,
