group,id,film1,film2,date,weekday,stime,etime,length,cinema,halls_name,director,country,co_production_country,resolving_power,projection_material,film_medium,show_type,memo
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,合拍国,分辨率,特殊介质,色彩,场次类型,备注
金爵奖官方入选影片-剧情片,12186,孩子不想理解,ONE SUMMER STORY,7月27日,星期一,09:00,11:19,139min,SFC上海影城,CINITY厅,冲田修一,日本,N/A,N/A,N/A,彩色,普通场,N/A
金爵奖官方入选影片-剧情片,10961,谎言的岛屿,THE ISLAND OF LIES,7月27日,星期一,18:30,20:04,94min,红星电影世界上海吴中路旗舰店,LUXE巨幕厅,宝拉·康斯,西班牙,N/A,N/A,N/A,N/A,普通场,N/A
金爵奖官方入选影片-剧情片,11177,感受你的记忆（4K）,FEEL YOUR MEMORIES (4K),8月1日,星期六,21:00,22:39,99min,红星电影世界上海吴中路旗舰店,LUXE巨幕厅,克里斯蒂娜·科门奇尼,意大利,N/A,4K,N/A,N/A,普通场,N/A
金爵奖官方入选影片-剧情片,11177,感受你的记忆（4K）,FEEL YOUR MEMORIES (4K),7月31日,星期五,21:00,22:39,99min,上海市沪北电影院,1号厅,克里斯蒂娜·科门奇尼,意大利,N/A,4K,N/A,N/A,普通场,N/A
金爵奖官方入选影片-剧情片,10163,海莲娜：画布人生,HELENE,8月1日,星期六,12:00,14:01,121min,上海UA梅龙镇广场电影城,2号厅,安提·乔金恩,芬兰,N/A,N/A,N/A,彩色,普通场,N/A
金爵奖官方入选影片-剧情片,10961,谎言的岛屿,THE ISLAND OF LIES,7月25日,星期六,09:00,10:34,94min,SFC上海影城,2号厅,宝拉·康斯,西班牙,N/A,N/A,N/A,N/A,普通场,N/A
金爵奖官方入选影片-剧情片,9280,盲人,CIEGOS,7月25日,星期六,14:50,16:12,82min,SFC上海影城,2号厅,费尔南多·祖伯,阿根廷,N/A,N/A,N/A,彩色,普通场,N/A
金爵奖官方入选影片-剧情片,12812,吉祥如意,THE REUNIONS,7月26日,星期日,14:50,16:05,75min,SFC上海影城,2号厅,大鹏,中国,N/A,N/A,N/A,彩色,见面场,N/A
金爵奖官方入选影片-剧情片,10163,海莲娜：画布人生,HELENE,7月27日,星期一,14:50,16:51,121min,SFC上海影城,2号厅,安提·乔金恩,芬兰,N/A,N/A,N/A,彩色,普通场,N/A
