group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
 SIFF纪录,22288,捕光之家,LAST DANCE,6月13日,周五,20:40,,97分钟,上海影城SHO,9号厅REALD CINEMA,周洪波,中国,N/A,N/A,普通场,N/A
 SIFF纪录,23999,谁目睹了神庙的倒塌,WHO WITNESSED THE TEMPLES FALL,6月14日,周六,18:30,,72分钟,CMG融媒影城,4号厅（4K激光）,露西娅·塞尔瓦,西班牙,N/A,彩色,普通场,N/A
 SIFF纪录,22071,永恒的配乐,SOUNDTRACK TO A COUP D’ETAT,6月14日,周六,15:30,,150分钟,上海影城SHO,2号厅Onyx,约翰·格蒙佩雷兹,"比利时,法国,荷兰",N/A,N/A,普通场,N/A
 SIFF纪录,22160,邓南遮占领阜姆自由邦,FIUME O MORTE!,6月14日,周六,15:30,,113分钟,上海影城SHO,3号厅CINITY,伊戈尔·贝齐诺维奇,"克罗地亚,意大利,斯洛文尼亚",N/A,N/A,普通场,N/A
 SIFF纪录,23316,与世界的最后一眼相遇 (4K),BLINK (4K),6月14日,周六,15:30,,83分钟,佰映三克映画,LUXE厅,"丹尼尔·罗赫 , 埃德蒙·斯滕森",美国,4K,N/A,普通场,N/A
 SIFF纪录,22651,捕光之家,LAST DANCE,6月14日,周六,13:00,,97分钟,天山电影院-虹桥艺术中心旗舰店,4号厅,周洪波,中国,N/A,N/A,见面场,N/A
 SIFF纪录,24602,身在其中,WE ARE INSIDE,6月14日,周六,14:00,,180分钟,寰映影城（久光中心店）,3号厅,法拉·卡塞姆,"黎巴嫩,卡塔尔,丹麦",N/A,彩色,普通场,N/A
 SIFF纪录,22712,巴拉内3号街区,BALANE 3,6月14日,周六,15:30,,98分钟,朵云轩杜比全景声影城,1号厅,伊科·科斯塔,"葡萄牙,法国",N/A,彩色,普通场,N/A
 SIFF纪录,22711,死亡是个混蛋,DEATH IS AN ASSHOLE,6月14日,周六,13:00,,79分钟,朵云轩杜比全景声影城,1号厅,迈克尔·斯瓦茨,德国,N/A,彩色,普通场,N/A
 SIFF纪录,23079,她心的渴望,A WANT IN HER,6月15日,周日,18:30,,81分钟,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,米里德·卡滕,"爱尔兰,英国,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22480,阿加莎的花园,AGATHA'S ALMANAC,6月15日,周日,20:40,,86分钟,上海大光明电影院,3号厅,阿玛莉·阿特金斯,加拿大,N/A,N/A,普通场,N/A
 SIFF纪录,24073,捕光之家,LAST DANCE,6月15日,周日,18:30,,97分钟,上海百丽宫影城（环贸iapm店）,激光6号厅,周洪波,中国,N/A,N/A,普通场,N/A
 SIFF纪录,23537,姊妹之歌,A SISTERS' TALE,6月15日,周日,13:00,,94分钟,上海百丽宫影城（长宁来福士店）,激光3号厅,莱拉·阿米尼,"瑞士,伊朗,法国",N/A,彩色,普通场,N/A
 SIFF纪录,23431,巴拉内3号街区,BALANE 3,6月15日,周日,18:30,,98分钟,和平影都,8号激光巨幕厅,伊科·科斯塔,"葡萄牙,法国",N/A,彩色,普通场,N/A
 SIFF纪录,22720,传奇淘金机,THE FABULOUS GOLD HARVESTING MACHINE,6月15日,周日,20:40,,77分钟,朵云轩杜比全景声影城,1号厅,阿尔弗雷多·普拉伊·德拉普拉萨,"智利,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,23940,与世界的最后一眼相遇 (4K),BLINK (4K),6月15日,周日,18:30,,83分钟,黄浦剧场,中剧场,"丹尼尔·罗赫 , 埃德蒙·斯滕森",美国,4K,N/A,普通场,N/A
 SIFF纪录,24113,贝鲁特，燃烧的余烬,TO CLOSE YOUR EYES AND SEE FIRE,6月16日,周一,18:30,,99分钟,AMG海上明珠影城环球港店,RealD 7号厅,"尼古拉·冯·莱芬 , 雅各布·卡尔·绍尔",奥地利,N/A,彩色,普通场,N/A
 SIFF纪录,24007,身在其中,WE ARE INSIDE,6月16日,周一,18:30,,180分钟,CMG融媒影城,4号厅（4K激光）,法拉·卡塞姆,"黎巴嫩,卡塔尔,丹麦",N/A,彩色,普通场,N/A
 SIFF纪录,22829,姊妹之歌,A SISTERS' TALE,6月16日,周一,18:30,,94分钟,SFC上影影城（国华广场店）,1号LUXE厅,莱拉·阿米尼,"瑞士,伊朗,法国",N/A,彩色,普通场,N/A
 SIFF纪录,23772,唯一的家园,NO OTHER LAND,6月16日,周一,15:30,,96分钟,SFC上影影城（港汇永华IMAX激光店）,Onyx LED厅,"巴西勒·阿德拉, 拉谢尔·瑟尔, 尤瓦尔·亚伯拉罕, 哈姆丹·比拉勒","巴勒斯坦,挪威",N/A,N/A,普通场,N/A
 SIFF纪录,23677,巴拉内3号街区,BALANE 3,6月16日,周一,18:30,,98分钟,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,伊科·科斯塔,"葡萄牙,法国",N/A,彩色,普通场,N/A
 SIFF纪录,23443,邓南遮占领阜姆自由邦,FIUME O MORTE!,6月16日,周一,18:30,,113分钟,和平影都,8号激光巨幕厅,伊戈尔·贝齐诺维奇,"克罗地亚,意大利,斯洛文尼亚",N/A,N/A,普通场,N/A
 SIFF纪录,24382,与世界的最后一眼相遇 (4K),BLINK (4K),6月16日,周一,18:30,,83分钟,星轶STARX影剧院（上海宝山日月光店）,5号厅,"丹尼尔·罗赫 , 埃德蒙·斯滕森",美国,4K,N/A,普通场,N/A
 SIFF纪录,23942,永恒的配乐,SOUNDTRACK TO A COUP D’ETAT,6月16日,周一,15:30,,150分钟,黄浦剧场,中剧场,约翰·格蒙佩雷兹,"比利时,法国,荷兰",N/A,N/A,普通场,N/A
 SIFF纪录,24116,死亡是个混蛋,DEATH IS AN ASSHOLE,6月17日,周二,18:30,,79分钟,AMG海上明珠影城环球港店,RealD 7号厅,迈克尔·斯瓦茨,德国,N/A,彩色,普通场,N/A
 SIFF纪录,23976,贝鲁特，燃烧的余烬,TO CLOSE YOUR EYES AND SEE FIRE,6月17日,周二,18:30,,99分钟,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,"尼古拉·冯·莱芬 , 雅各布·卡尔·绍尔",奥地利,N/A,彩色,普通场,N/A
 SIFF纪录,24046,唯一的家园,NO OTHER LAND,6月17日,周二,18:30,,96分钟,SFC上影百联影城（八佰伴IMAX店）,2号厅,"巴西勒·阿德拉, 拉谢尔·瑟尔, 尤瓦尔·亚伯拉罕, 哈姆丹·比拉勒","巴勒斯坦,挪威",N/A,N/A,普通场,N/A
 SIFF纪录,22491,巴拉内3号街区,BALANE 3,6月17日,周二,18:30,,98分钟,上海大光明电影院,3号厅,伊科·科斯塔,"葡萄牙,法国",N/A,彩色,普通场,N/A
 SIFF纪录,22492,请放过我的骨头！,"SPARE MY BONES, COYOTE!",6月17日,周二,20:40,,84分钟,上海大光明电影院,3号厅,乔纳·马拉克,加拿大,N/A,N/A,普通场,N/A
 SIFF纪录,22670,邓南遮占领阜姆自由邦,FIUME O MORTE!,6月17日,周二,15:30,,113分钟,天山电影院-虹桥艺术中心旗舰店,4号厅,伊戈尔·贝齐诺维奇,"克罗地亚,意大利,斯洛文尼亚",N/A,N/A,普通场,N/A
 SIFF纪录,24328,谁目睹了神庙的倒塌,WHO WITNESSED THE TEMPLES FALL,6月17日,周二,18:30,,72分钟,寰映影城（久光中心店）,3号厅,露西娅·塞尔瓦,西班牙,N/A,彩色,普通场,N/A
 SIFF纪录,22731,牧野熊踪 (4K),THE SHEPHERD AND THE BEAR (4K),6月17日,周二,18:30,,101分钟,朵云轩杜比全景声影城,1号厅,马克斯·基根,"美国,英国,法国",4K,彩色,普通场,N/A
 SIFF纪录,22729,阿加莎的花园,AGATHA'S ALMANAC,6月17日,周二,13:00,,86分钟,朵云轩杜比全景声影城,1号厅,阿玛莉·阿特金斯,加拿大,N/A,N/A,普通场,N/A
 SIFF纪录,22497,传奇淘金机,THE FABULOUS GOLD HARVESTING MACHINE,6月18日,周三,18:30,,77分钟,上海大光明电影院,3号厅,阿尔弗雷多·普拉伊·德拉普拉萨,"智利,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22496,唯一的家园,NO OTHER LAND,6月18日,周三,15:30,,96分钟,上海大光明电影院,3号厅,"巴西勒·阿德拉, 拉谢尔·瑟尔, 尤瓦尔·亚伯拉罕, 哈姆丹·比拉勒","巴勒斯坦,挪威",N/A,N/A,普通场,N/A
 SIFF纪录,22977,她心的渴望,A WANT IN HER,6月18日,周三,18:30,,81分钟,上海科技影城,3号厅,米里德·卡滕,"爱尔兰,英国,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22737,贝鲁特，燃烧的余烬,TO CLOSE YOUR EYES AND SEE FIRE,6月18日,周三,18:30,,99分钟,朵云轩杜比全景声影城,1号厅,"尼古拉·冯·莱芬 , 雅各布·卡尔·绍尔",奥地利,N/A,彩色,普通场,N/A
 SIFF纪录,22735,与世界的最后一眼相遇 (4K),BLINK (4K),6月18日,周三,13:00,,83分钟,朵云轩杜比全景声影城,1号厅,"丹尼尔·罗赫 , 埃德蒙·斯滕森",美国,4K,N/A,普通场,N/A
 SIFF纪录,24632,身在其中,WE ARE INSIDE,6月18日,周三,09:00,,180分钟,朵云轩杜比全景声影城,1号厅,法拉·卡塞姆,"黎巴嫩,卡塔尔,丹麦",N/A,彩色,普通场,N/A
 SIFF纪录,22736,邓南遮占领阜姆自由邦,FIUME O MORTE!,6月18日,周三,15:30,,113分钟,朵云轩杜比全景声影城,1号厅,伊戈尔·贝齐诺维奇,"克罗地亚,意大利,斯洛文尼亚",N/A,N/A,普通场,N/A
 SIFF纪录,24122,请放过我的骨头！,"SPARE MY BONES, COYOTE!",6月19日,周四,18:30,,84分钟,AMG海上明珠影城环球港店,RealD 7号厅,乔纳·马拉克,加拿大,N/A,N/A,普通场,N/A
 SIFF纪录,23753,邓南遮占领阜姆自由邦,FIUME O MORTE!,6月19日,周四,20:40,,113分钟,CGV影城（白玉兰广场IMAX店）,8号厅,伊戈尔·贝齐诺维奇,"克罗地亚,意大利,斯洛文尼亚",N/A,N/A,普通场,N/A
 SIFF纪录,24019,阿加莎的花园,AGATHA'S ALMANAC,6月19日,周四,18:30,,86分钟,CMG融媒影城,4号厅（4K激光）,阿玛莉·阿特金斯,加拿大,N/A,N/A,普通场,N/A
 SIFF纪录,22503,死亡是个混蛋,DEATH IS AN ASSHOLE,6月19日,周四,18:30,,79分钟,上海大光明电影院,3号厅,迈克尔·斯瓦茨,德国,N/A,彩色,普通场,N/A
 SIFF纪录,22682,永恒的配乐,SOUNDTRACK TO A COUP D’ETAT,6月19日,周四,15:30,,150分钟,天山电影院-虹桥艺术中心旗舰店,4号厅,约翰·格蒙佩雷兹,"比利时,法国,荷兰",N/A,N/A,普通场,N/A
 SIFF纪录,22742,姊妹之歌,A SISTERS' TALE,6月19日,周四,15:30,,94分钟,朵云轩杜比全景声影城,1号厅,莱拉·阿米尼,"瑞士,伊朗,法国",N/A,彩色,普通场,N/A
 SIFF纪录,23923,牧野熊踪 (4K),THE SHEPHERD AND THE BEAR (4K),6月20日,周五,18:30,,101分钟,CMG融媒影城,8号厅（杜比全景声CINITY）,马克斯·基根,"美国,英国,法国",4K,彩色,普通场,N/A
 SIFF纪录,24346,她心的渴望,A WANT IN HER,6月20日,周五,18:30,,81分钟,寰映影城（久光中心店）,3号厅,米里德·卡滕,"爱尔兰,英国,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22748,永恒的配乐,SOUNDTRACK TO A COUP D’ETAT,6月20日,周五,15:30,,150分钟,朵云轩杜比全景声影城,1号厅,约翰·格蒙佩雷兹,"比利时,法国,荷兰",N/A,N/A,普通场,N/A
 SIFF纪录,22749,谁目睹了神庙的倒塌,WHO WITNESSED THE TEMPLES FALL,6月20日,周五,18:30,,72分钟,朵云轩杜比全景声影城,1号厅,露西娅·塞尔瓦,西班牙,N/A,彩色,见面场,N/A
 SIFF纪录,24294,捕光之家,LAST DANCE,6月21日,周六,15:30,,97分钟,万达影城（五角场万达广场店）,11号厅,周洪波,中国,N/A,N/A,普通场,N/A
 SIFF纪录,22515,姊妹之歌,A SISTERS' TALE,6月21日,周六,18:30,,94分钟,上海大光明电影院,3号厅,莱拉·阿米尼,"瑞士,伊朗,法国",N/A,彩色,普通场,N/A
 SIFF纪录,22455,人生焊接术,WELDED TOGETHER,6月21日,周六,18:30,,96分钟,上海大光明电影院,2号厅,阿纳斯塔西娅·米罗什尼琴科,"法国,荷兰,比利时",N/A,N/A,普通场,N/A
 SIFF纪录,23395,牧野熊踪 (4K),THE SHEPHERD AND THE BEAR (4K),6月21日,周六,18:30,,101分钟,上海百丽宫影城（长宁来福士店）,LUXE激光巨幕厅,马克斯·基根,"美国,英国,法国",4K,彩色,普通场,N/A
 SIFF纪录,23338,传奇淘金机,THE FABULOUS GOLD HARVESTING MACHINE,6月21日,周六,18:30,,77分钟,佰映三克映画,LUXE厅,阿尔弗雷多·普拉伊·德拉普拉萨,"智利,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22752,她心的渴望,A WANT IN HER,6月21日,周六,10:30,,81分钟,朵云轩杜比全景声影城,1号厅,米里德·卡滕,"爱尔兰,英国,荷兰",N/A,彩色,普通场,N/A
 SIFF纪录,22754,唯一的家园,NO OTHER LAND,6月21日,周六,15:30,,96分钟,朵云轩杜比全景声影城,1号厅,"巴西勒·阿德拉, 拉谢尔·瑟尔, 尤瓦尔·亚伯拉罕, 哈姆丹·比拉勒","巴勒斯坦,挪威",N/A,N/A,普通场,N/A
 SIFF纪录,22753,人生焊接术,WELDED TOGETHER,6月21日,周六,13:00,,96分钟,朵云轩杜比全景声影城,1号厅,阿纳斯塔西娅·米罗什尼琴科,"法国,荷兰,比利时",N/A,N/A,普通场,N/A
 SIFF纪录,24131,人生焊接术,WELDED TOGETHER,6月22日,周日,18:30,,96分钟,AMG海上明珠影城环球港店,RealD 7号厅,阿纳斯塔西娅·米罗什尼琴科,"法国,荷兰,比利时",N/A,N/A,普通场,N/A
 SIFF纪录,23120,人生焊接术,WELDED TOGETHER,6月22日,周日,15:30,,96分钟,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,阿纳斯塔西娅·米罗什尼琴科,"法国,荷兰,比利时",N/A,N/A,普通场,N/A
